date,description,amount
2025-10-01,Monthly salary credit,-150000
2025-10-02,Rent payment to landlord,25000
2025-10-03,DMart groceries,2200
2025-10-04,Uber ride,320
2025-10-05,HPCL petrol bunk,4000
2025-10-06,Electricity bill,2300
2025-10-07,Amazon shopping,3500
2025-10-08,Pharmacy purchase,900
2025-10-09,Netflix subscription,649
2025-10-10,Movie tickets,1200
2025-10-11,Transfer to savings,50000
2025-10-12,Insurance premium,15000
2025-10-13,Starbucks coffee,275
2025-10-14,Metro ride,250
2025-10-15,Diesel refill,4500
2025-10-16,Flipkart order,2800
2025-10-17,Doctor visit,1800
2025-10-18,School tuition fee,20000
2025-10-19,Spotify subscription,149
2025-10-20,Concert passes,4500
2025-10-21,Cafe dinner,900
2025-10-22,Ola ride,320
2025-10-23,Big Bazaar groceries,1800
2025-10-24,Bank fee charge,50
2025-10-25,Phone recharge,299
2025-10-26,Online shopping,2400
2025-10-27,Water bill,900
2025-10-28,Gym membership fee,1200
2025-10-29,Myntra order,3200
2025-10-30,Clinic consultation,1100
